Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Aldenham Park,07/05/2020,,07/05/2020,,TRUE,,,
Aldenham Park,03/06/2020,,03/06/2020,,TRUE,,,
Aldenham Park,08/09/2020,,08/09/2020,,TRUE,,,
Broadward Hall Estate,19/06/2020,,19/06/2020,,TRUE,,,
Broadward Hall Estate,07/08/2020,,07/08/2020,,TRUE,,,
Brynkinalt,19/03/2020,,19/03/2020,,TRUE,,,
Brynkinalt,20/05/2020,,20/05/2020,,TRUE,,,
Brynkinalt,02/06/2020,,02/06/2020,,TRUE,,,
Brynkinalt,02/07/2020,,02/07/2020,,TRUE,,,
Brynkinalt,24/07/2020,,24/07/2020,,TRUE,,,
Brynkinalt,08/09/2020,,08/09/2020,,TRUE,,,
Brynkinalt,01/10/2020,,01/10/2020,,TRUE,,,
Brynkinalt,09/12/2020,,09/12/2020,,TRUE,,,
Combermere Abbey,28/04/2020,,28/04/2020,,TRUE,,,
Combermere Abbey,19/05/2020,,19/05/2020,,TRUE,,,
Combermere Abbey,08/09/2020,,08/09/2020,,TRUE,,,
Hardwick Hall,18/03/2020,,18/03/2020,,TRUE,,,
Hardwick Hall,22/04/2020,,22/04/2020,,TRUE,,,
Hardwick Hall,20/05/2020,,20/05/2020,,TRUE,,,
Hardwick Hall,22/07/2020,,22/07/2020,,TRUE,,,
Hardwick Hall,23/09/2020,,23/09/2020,,TRUE,,,
Iscoyd Park,28/04/2020,,28/04/2020,,TRUE,,,
Iscoyd Park,14/07/2020,,14/07/2020,,TRUE,,,
Iscoyd Park,28/07/2020,,28/07/2020,,TRUE,,,
Millichope Park,24/04/2020,,24/04/2020,,TRUE,,,
Millichope Park,17/06/2020,,17/06/2020,,TRUE,,,
Millichope Park,14/10/2020,,14/10/2020,,TRUE,,,
Stokesay Court,19/06/2020,,19/06/2020,,TRUE,,,
Stokesay Court,07/08/2020,,07/08/2020,,TRUE,,,
Stokesay Court,19/04/2020,,19/04/2020,,TRUE,,,
Stokesay Court,21/04/2020,,21/04/2020,,TRUE,,,
Stokesay Court,05/07/2020,,05/07/2020,,TRUE,,,
Stokesay Court,19/05/2020,,19/05/2020,,TRUE,,,
Stokesay Court,24/05/2020,,24/05/2020,,TRUE,,,
Stokesay Court,02/06/2020,,02/06/2020,,TRUE,,,
Stokesay Court,16/06/2020,,16/06/2020,,TRUE,,,
Stokesay Court,28/06/2020,,28/06/2020,,TRUE,,,
Stokesay Court,30/06/2020,,30/06/2020,,TRUE,,,
Stokesay Court,14/07/2020,,14/07/2020,,TRUE,,,
Stokesay Court,26/07/2020,,26/07/2020,,TRUE,,,
Stokesay Court,28/07/2020,,28/07/2020,,TRUE,,,
Stokesay Court,11/08/2020,,11/08/2020,,TRUE,,,
Stokesay Court,25/08/2020,,25/08/2020,,TRUE,,,
Stokesay Court,30/08/2020,,30/08/2020,,TRUE,,,
Stokesay Court,08/09/2020,,08/09/2020,,TRUE,,,
Stokesay Court,22/09/2020,,22/09/2020,,TRUE,,,
Stokesay Court,27/09/2020,,27/09/2020,,TRUE,,,
Stokesay Court,06/10/2020,,06/10/2020,,TRUE,,,
Stokesay Court,11/10/2020,,11/10/2020,,TRUE,,,
Willey Park,14/05/2020,,14/05/2020,,TRUE,,,
Willey Park,09/09/2020,,09/09/2020,,TRUE,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
